Id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels
108,79,icmp,other,RSTO,1384,532,0,4,0,0,1,0,7,1,0,8,5,1,4,0,0,1,86,88,0.65,0.93,0.73,0.9,0.85,0.03,0.02,19,249,0.89,0.23,0.59,0.04,0.53,0.69,0.24,0.39,neptune
109,34,tcp,private,SH,550,4360,0,2,0,1,0,1,0,0,1,2,0,0,1,0,0,0,28,88,0.23,0.06,0.26,0.41,0.36,0.28,0.43,125,30,0.96,0.32,0.26,0.26,0.5,0.04,0.29,0.3,normal
110,54,udp,smtp,RSTO,7203,1438,0,2,4,1,3,0,9,0,1,6,1,0,5,0,0,0,84,79,0.82,0.97,0.5,0.69,0.82,0.04,0.32,207,60,0.9,0.41,0.43,0.37,0.93,0.8,0.06,0.38,back
111,20,udp,http,SF,2647,2812,0,2,0,1,1,1,2,0,1,0,2,2,3,0,1,0,22,34,0.03,0.18,0.07,0.01,0.22,0.37,0.09,213,39,0.56,0.02,0.55,0.12,0.21,0.46,0.01,0.26,normal
112,88,icmp,other,SF,7953,1438,1,4,6,2,2,1,9,0,0,4,3,0,0,0,1,1,16,93,0.72,0.76,0.86,0.52,0.96,0.18,0.3,230,124,0.88,0.39,0.62,0.33,0.75,0.66,0.08,0.29,back
113,61,icmp,domain_u,RSTO,2860,3753,1,0,0,2,1,1,0,0,1,2,0,2,0,0,0,0,67,34,0.41,0.32,0.11,0.21,0.28,0.21,0.21,143,54,0.98,0.46,0.54,0.34,0.11,0.27,0.33,0.19,normal
114,66,udp,domain_u,S0,832,3507,0,2,0,2,0,1,2,0,0,1,1,1,0,0,1,0,90,14,0.43,0.31,0.33,0.3,0.21,0.25,0.24,224,66,0.77,0.12,0.19,0.46,0.2,0.05,0.01,0.39,normal
115,81,icmp,other,SH,4454,4735,0,1,0,2,0,0,1,0,0,1,2,1,2,0,1,0,27,98,0.35,0.14,0.4,0.37,0.44,0.25,0.07,85,186,0.76,0.13,0.08,0.46,0.38,0.25,0.34,0.49,normal
116,27,icmp,smtp,REJ,2432,1301,0,2,0,2,0,1,0,0,0,1,0,2,4,0,1,0,23,67,0.38,0.17,0.13,0.49,0.33,0.45,0.09,36,182,0.97,0.21,0.43,0.5,0.08,0.1,0.24,0.42,normal
117,55,icmp,http,SH,2954,4389,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,19,77,0.25,0.24,0.41,0.13,0.1,0.25,0.5,7,236,0.96,0.35,0.28,0.26,0.09,0.32,0.32,0.08,normal
118,69,icmp,http,SH,2155,3058,0,2,0,2,0,1,1,0,1,3,1,1,1,0,0,0,43,47,0.2,0.02,0.04,0.03,0.45,0.47,0.07,76,174,0.98,0.33,0.33,0.42,0.5,0.37,0.1,0.38,normal
119,27,icmp,eco_i,SH,955,351,0,1,0,1,0,1,1,0,0,2,2,2,1,0,1,0,29,6,0.1,0.35,0.46,0.07,0.41,0.27,0.28,173,121,0.89,0.19,0.85,0.29,0.18,0.23,0.2,0.2,normal
120,37,tcp,eco_i,S0,3221,1587,0,4,4,1,5,0,9,0,1,3,2,2,1,0,0,0,85,41,0.84,0.99,0.8,0.95,0.86,0.16,0.25,202,113,0.98,0.43,0.24,0.3,0.75,0.77,0.03,0.02,teardrop
121,80,icmp,domain_u,RSTO,2410,3886,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,81,83,0.14,0.49,0.11,0.21,0.06,0.36,0.38,130,189,0.86,0.22,0.55,0.25,0.09,0.24,0.22,0.19,normal
122,79,tcp,domain_u,SF,1021,2098,0,2,0,1,1,1,2,0,0,0,2,2,0,0,0,0,20,48,0.04,0.28,0.16,0.34,0.37,0.23,0.34,65,242,0.71,0.1,0.82,0.2,0.38,0.11,0.2,0.44,normal
123,4,tcp,ftp_data,S0,1422,1873,0,9,2,3,5,1,4,1,1,8,4,2,3,0,0,1,78,10,0.62,0.91,0.69,0.71,0.86,0.31,0.44,89,216,0.81,0.35,0.79,0.49,0.94,0.75,0.15,0.38,neptune
124,45,tcp,ftp_data,REJ,6204,1571,0,3,5,0,5,1,7,0,1,7,2,2,3,0,1,0,72,9,0.83,0.75,0.81,0.91,0.95,0.29,0.32,133,232,0.89,0.27,0.81,0.12,0.61,0.71,0.12,0.15,neptune
125,4,udp,http,S0,9952,1428,0,7,2,1,4,0,0,1,0,1,3,0,1,0,0,1,47,8,0.95,0.6,0.76,0.95,0.91,0.1,0.08,182,11,0.83,0.42,0.73,0.24,0.55,0.8,0.18,0.25,teardrop
126,44,tcp,smtp,REJ,4762,657,1,1,3,2,3,1,3,1,1,10,4,2,3,0,0,1,58,57,0.58,0.96,0.79,0.92,0.88,0.07,0.26,210,252,0.95,0.22,0.21,0.11,0.98,0.71,0.37,0.47,smurf
127,50,icmp,eco_i,REJ,2128,106,0,2,0,2,0,0,2,0,0,0,0,0,3,0,0,0,100,98,0.25,0.15,0.42,0.2,0.39,0.2,0.46,224,186,0.81,0.43,0.61,0.16,0.38,0.04,0.22,0.47,normal
128,53,udp,eco_i,S0,1846,788,0,2,0,0,0,1,1,0,0,0,1,0,3,0,1,0,71,44,0.08,0.39,0.27,0.34,0.29,0.49,0.19,101,182,0.81,0.5,0.88,0.25,0.35,0.05,0.17,0.14,normal
129,57,udp,ftp_data,REJ,4615,809,1,10,1,5,3,0,9,0,1,0,5,2,1,0,1,1,31,81,0.78,0.84,0.57,0.65,0.96,0.2,0.19,2,253,0.93,0.3,0.44,0.24,0.5,0.87,0.0,0.34,back
130,70,udp,private,SH,4540,696,0,4,4,0,4,1,6,0,1,3,3,1,0,0,1,0,42,66,0.84,0.51,0.52,0.96,0.89,0.16,0.39,229,245,0.98,0.28,0.08,0.31,0.87,0.88,0.06,0.04,teardrop
131,90,icmp,private,RSTO,6718,107,1,7,10,3,5,1,7,0,0,3,4,0,5,0,1,0,39,48,0.76,0.56,0.93,0.63,0.84,0.21,0.43,204,53,0.98,0.11,0.16,0.17,0.59,0.95,0.49,0.39,smurf
132,30,tcp,ftp_data,SF,7530,1588,0,7,2,4,5,1,3,0,0,2,0,0,2,0,1,0,31,8,0.75,0.74,0.79,0.83,0.9,0.02,0.43,180,98,0.84,0.15,0.63,0.28,0.85,0.87,0.09,0.07,back
133,55,icmp,ftp_data,S0,2566,919,1,0,0,1,1,0,0,0,0,2,0,1,4,0,0,0,89,3,0.43,0.12,0.07,0.12,0.38,0.46,0.18,243,126,0.98,0.09,0.62,0.16,0.49,0.19,0.09,0.2,normal
134,45,tcp,private,S0,3966,1847,0,2,0,1,0,0,1,0,1,3,2,2,0,0,1,0,65,92,0.23,0.05,0.44,0.2,0.33,0.31,0.31,138,92,0.96,0.01,0.7,0.27,0.19,0.21,0.36,0.06,normal
135,57,tcp,ftp_data,REJ,7792,1195,1,2,2,1,5,1,8,1,1,10,5,1,2,0,1,1,50,34,0.56,0.6,0.52,0.92,0.91,0.12,0.17,225,53,0.93,0.44,0.39,0.2,0.78,0.69,0.48,0.41,neptune
136,35,udp,other,S0,6200,1197,0,5,2,1,1,0,5,0,0,9,2,1,2,0,0,0,67,94,0.83,0.58,0.88,0.8,0.94,0.49,0.4,161,208,0.92,0.36,0.95,0.12,0.78,0.89,0.43,0.4,smurf
137,27,icmp,eco_i,SH,9202,348,1,7,9,1,1,1,4,1,0,3,2,2,5,0,1,0,72,58,0.58,0.94,0.92,0.65,0.9,0.25,0.28,23,243,0.88,0.21,0.41,0.04,0.83,0.95,0.19,0.42,back
138,71,icmp,http,SF,3967,1936,1,2,0,2,1,0,0,0,0,2,0,0,1,0,1,0,74,72,0.47,0.45,0.41,0.31,0.18,0.25,0.04,209,111,0.71,0.13,0.21,0.2,0.48,0.27,0.02,0.02,normal
139,46,tcp,ftp_data,REJ,1632,276,0,2,0,0,0,1,0,0,0,3,1,2,0,0,1,0,73,51,0.34,0.12,0.16,0.26,0.36,0.38,0.23,98,29,0.82,0.39,0.37,0.4,0.43,0.45,0.13,0.02,normal
140,35,tcp,eco_i,RSTO,4595,1738,1,2,3,0,0,0,7,0,1,5,3,1,5,0,0,1,34,16,0.85,0.83,0.62,0.63,0.99,0.17,0.14,241,20,0.97,0.49,0.93,0.37,0.86,0.82,0.23,0.17,teardrop
141,16,icmp,other,REJ,4806,2724,0,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,73,40,0.33,0.46,0.2,0.3,0.04,0.4,0.28,22,173,0.6,0.45,0.19,0.21,0.2,0.19,0.25,0.36,normal
142,67,icmp,eco_i,REJ,7706,1467,0,2,8,0,2,0,0,0,1,8,4,0,1,0,1,0,45,99,0.88,0.58,0.96,0.6,0.85,0.18,0.25,63,246,0.96,0.41,0.27,0.13,0.88,0.97,0.37,0.35,teardrop
143,43,tcp,smtp,S0,5984,1833,1,9,4,5,5,1,8,1,0,6,0,2,5,0,1,0,90,74,0.55,0.78,0.98,0.89,0.84,0.02,0.25,239,28,0.99,0.02,0.35,0.07,0.55,0.58,0.11,0.03,back
144,97,tcp,private,SF,4449,2811,1,1,0,1,0,1,0,0,0,0,2,2,2,0,0,0,49,90,0.09,0.26,0.45,0.37,0.28,0.04,0.4,190,213,0.97,0.45,0.79,0.24,0.42,0.15,0.18,0.4,normal
145,76,tcp,http,REJ,2859,713,0,2,10,3,3,0,10,0,0,3,2,1,4,0,0,1,72,1,0.78,0.88,0.89,0.89,0.82,0.47,0.06,217,111,0.97,0.13,0.99,0.41,0.8,1.0,0.01,0.17,back
146,71,tcp,eco_i,RSTO,1686,727,0,0,2,0,5,0,2,1,1,1,1,2,2,0,0,0,63,15,0.75,0.87,0.79,0.94,0.81,0.16,0.27,106,246,1.0,0.31,0.97,0.36,0.97,0.93,0.02,0.35,smurf
147,35,tcp,http,RSTO,8061,1380,1,5,3,3,2,0,6,1,1,4,3,2,1,0,1,1,82,94,0.56,0.82,0.81,0.75,0.92,0.29,0.09,203,74,1.0,0.43,0.63,0.42,0.95,0.97,0.46,0.34,smurf
148,32,icmp,eco_i,SF,6367,1990,1,10,9,2,4,1,1,0,0,0,0,1,1,0,0,1,45,95,0.93,0.7,0.98,0.94,0.96,0.16,0.28,123,76,0.85,0.04,0.06,0.05,0.74,0.66,0.45,0.04,back
149,55,udp,http,SH,223,4271,1,0,0,1,0,1,1,0,0,1,0,2,1,0,1,0,73,8,0.47,0.19,0.45,0.24,0.4,0.42,0.24,26,56,0.59,0.49,0.85,0.1,0.44,0.26,0.46,0.42,normal
150,8,udp,http,REJ,8862,600,0,2,4,1,0,0,5,1,1,2,5,0,4,0,1,1,92,11,0.56,0.71,0.81,0.89,0.85,0.02,0.37,240,155,0.81,0.42,0.62,0.19,0.55,0.88,0.07,0.08,back
151,67,udp,ftp_data,S0,783,3250,1,0,0,1,1,0,2,0,1,3,2,1,0,0,1,0,70,87,0.26,0.05,0.45,0.19,0.44,0.1,0.3,139,17,0.53,0.28,0.59,0.15,0.19,0.39,0.04,0.46,normal
152,30,icmp,http,SF,9575,786,0,9,3,0,5,1,0,1,1,7,4,2,5,0,0,1,65,68,0.65,0.59,0.73,0.89,0.86,0.19,0.18,143,32,0.82,0.23,0.1,0.43,0.96,0.84,0.44,0.12,teardrop
153,51,icmp,smtp,RSTO,3978,3855,0,1,0,2,1,1,0,0,1,3,2,1,5,0,0,0,81,18,0.39,0.29,0.33,0.46,0.2,0.2,0.49,28,11,0.81,0.44,0.72,0.31,0.19,0.05,0.42,0.43,normal
154,26,udp,smtp,RSTO,3418,1428,0,1,0,0,0,1,2,0,0,1,1,1,0,0,1,0,3,28,0.15,0.31,0.13,0.46,0.43,0.37,0.27,91,131,0.5,0.07,0.09,0.35,0.12,0.14,0.48,0.14,normal
155,78,icmp,eco_i,S0,6196,932,0,8,7,5,0,1,3,0,0,3,3,2,1,0,0,1,71,50,0.86,0.59,0.59,0.58,0.92,0.23,0.4,203,35,0.91,0.48,0.72,0.4,0.86,0.89,0.12,0.26,neptune
156,43,udp,other,REJ,6279,1950,0,6,0,2,3,0,9,1,0,5,4,2,4,0,1,0,79,30,0.75,0.69,0.85,0.84,0.97,0.28,0.28,218,1,0.87,0.29,0.6,0.49,0.93,0.74,0.41,0.2,neptune
157,69,tcp,eco_i,REJ,1992,519,1,0,0,3,5,1,1,0,0,9,2,0,4,0,1,0,24,23,0.68,0.58,0.59,0.69,0.98,0.34,0.32,18,64,0.87,0.32,0.0,0.24,0.7,0.64,0.39,0.23,teardrop
158,75,udp,private,RSTO,4025,1011,0,10,6,0,4,0,7,0,1,10,0,1,2,0,0,1,13,35,0.93,0.93,0.59,0.58,0.83,0.13,0.39,47,26,0.92,0.23,0.49,0.13,0.82,0.86,0.47,0.17,back
159,1,icmp,smtp,RSTO,3192,3897,0,1,0,0,1,0,2,0,0,1,1,0,3,0,1,0,48,96,0.49,0.11,0.44,0.38,0.14,0.21,0.45,157,33,0.85,0.27,0.86,0.17,0.15,0.02,0.38,0.18,normal
160,16,icmp,domain_u,SF,3356,1065,0,0,0,2,1,0,2,0,0,3,0,2,5,0,0,0,95,24,0.22,0.14,0.38,0.39,0.31,0.48,0.13,39,121,0.64,0.23,0.31,0.15,0.09,0.42,0.19,0.47,normal
161,70,udp,other,RSTO,7052,868,1,0,2,4,2,0,4,1,0,3,2,0,3,0,1,0,13,79,0.68,0.64,0.87,0.92,0.9,0.02,0.03,85,146,0.89,0.26,0.8,0.05,0.59,0.96,0.31,0.45,neptune
162,22,udp,eco_i,SF,1500,1150,1,8,3,2,0,1,6,1,1,1,4,1,5,0,0,0,96,72,1.0,0.5,0.6,0.85,0.93,0.37,0.4,223,216,0.92,0.01,0.25,0.46,0.61,0.85,0.26,0.0,teardrop
163,65,tcp,private,SH,872,4409,0,2,0,1,1,0,1,0,1,0,2,1,0,0,1,0,96,64,0.15,0.36,0.28,0.05,0.35,0.17,0.21,77,68,0.89,0.33,0.91,0.23,0.39,0.32,0.37,0.35,normal
164,67,tcp,domain_u,S0,2707,3595,0,1,0,2,0,0,0,0,0,2,1,1,4,0,1,0,89,45,0.2,0.13,0.06,0.09,0.16,0.26,0.07,139,183,0.7,0.22,0.45,0.12,0.38,0.32,0.11,0.4,normal
165,8,udp,smtp,RSTO,4980,2840,1,2,0,0,0,0,2,0,1,1,0,0,5,0,0,0,15,69,0.28,0.1,0.27,0.18,0.31,0.46,0.39,67,74,0.95,0.23,0.96,0.13,0.14,0.3,0.07,0.08,normal
166,90,udp,domain_u,RSTO,7483,1146,0,4,5,0,5,1,5,1,1,3,0,1,3,0,1,1,97,25,0.52,0.85,0.77,0.83,0.84,0.39,0.48,144,25,1.0,0.41,0.16,0.26,0.87,0.87,0.3,0.12,teardrop
167,18,udp,ftp_data,S0,7212,1047,1,0,1,0,4,1,9,0,0,4,3,1,2,0,0,1,6,18,0.52,0.57,0.96,0.7,0.91,0.37,0.36,36,50,0.84,0.27,0.43,0.44,0.53,0.87,0.45,0.2,teardrop
168,57,udp,other,SF,1056,3835,1,2,0,0,1,1,0,0,0,1,0,0,2,0,0,0,64,57,0.09,0.25,0.44,0.46,0.49,0.29,0.44,189,171,0.82,0.28,0.9,0.06,0.46,0.41,0.28,0.11,normal
169,70,tcp,other,SH,2290,1992,0,1,0,2,1,0,1,0,0,0,2,0,3,0,0,0,19,41,0.14,0.41,0.14,0.42,0.08,0.48,0.15,14,9,0.81,0.07,0.57,0.31,0.46,0.37,0.48,0.4,normal
170,75,icmp,http,SF,1622,3851,1,1,0,0,0,0,2,0,1,1,2,0,2,0,0,0,38,27,0.19,0.16,0.23,0.44,0.5,0.06,0.18,137,105,0.8,0.19,0.03,0.03,0.39,0.46,0.21,0.1,normal
171,60,udp,other,S0,4951,4228,1,0,0,0,0,0,2,0,1,2,2,0,0,0,0,0,12,14,0.01,0.5,0.29,0.24,0.33,0.42,0.21,71,249,0.52,0.37,0.72,0.46,0.15,0.5,0.12,0.03,normal
172,16,icmp,http,RSTO,2032,1348,0,8,2,1,2,0,4,0,0,3,3,1,5,0,1,1,98,66,0.51,0.87,0.66,0.91,0.82,0.27,0.19,217,235,0.86,0.47,0.52,0.29,0.77,0.78,0.09,0.27,smurf
173,8,icmp,smtp,S0,4715,1790,1,5,8,2,0,0,3,0,1,7,0,2,1,0,0,0,37,12,0.57,0.73,0.66,0.67,0.87,0.37,0.41,188,50,0.81,0.29,0.83,0.02,0.85,0.91,0.49,0.2,smurf
174,66,icmp,domain_u,SH,8868,429,1,2,4,0,1,0,0,0,1,0,1,0,5,0,0,0,6,12,0.6,0.71,0.78,0.87,0.84,0.06,0.25,172,208,0.83,0.24,0.0,0.42,0.71,0.73,0.24,0.21,back
175,47,icmp,http,SF,1901,2421,0,1,0,1,0,0,2,0,0,2,1,1,4,0,1,0,25,32,0.4,0.1,0.27,0.18,0.28,0.26,0.45,42,244,0.71,0.18,0.94,0.35,0.34,0.39,0.23,0.43,normal
176,86,tcp,ftp_data,SF,3356,1084,0,1,0,0,1,1,0,0,1,3,2,0,3,0,0,0,16,100,0.37,0.46,0.44,0.21,0.12,0.3,0.06,62,11,0.64,0.11,0.93,0.34,0.38,0.48,0.28,0.45,normal
177,33,icmp,domain_u,S0,1644,4769,0,2,0,0,1,1,0,0,0,0,2,2,1,0,1,0,47,26,0.2,0.05,0.5,0.27,0.42,0.01,0.27,109,217,0.79,0.35,0.01,0.01,0.2,0.06,0.36,0.46,normal
178,92,icmp,smtp,RSTO,206,1937,1,1,0,2,1,0,2,0,1,3,1,2,0,0,1,0,18,82,0.09,0.38,0.17,0.0,0.28,0.39,0.13,120,80,0.53,0.18,0.75,0.01,0.13,0.03,0.1,0.26,normal
179,42,tcp,eco_i,S0,7575,349,1,8,7,5,4,0,5,1,0,7,4,2,1,0,1,0,67,64,0.82,0.99,0.51,0.54,0.94,0.25,0.28,19,151,0.93,0.22,0.03,0.32,0.82,0.77,0.36,0.11,teardrop
180,95,udp,private,SF,5897,411,1,2,1,0,0,0,2,1,1,2,3,1,2,0,0,0,34,23,0.65,0.95,0.89,0.69,0.97,0.29,0.11,170,104,0.94,0.26,0.76,0.41,0.86,0.81,0.47,0.23,back
181,8,udp,ftp_data,SH,1166,818,0,2,0,2,1,0,0,0,1,2,1,2,4,0,0,0,35,98,0.21,0.03,0.29,0.36,0.07,0.19,0.09,189,214,0.75,0.18,0.28,0.11,0.09,0.32,0.35,0.06,normal
182,58,udp,other,REJ,3985,99,1,7,6,1,4,0,9,1,1,4,3,2,5,0,0,1,82,81,0.97,0.62,0.84,0.7,0.94,0.02,0.12,67,158,0.89,0.01,0.03,0.15,0.62,0.51,0.06,0.03,back
183,44,tcp,http,S0,1670,1352,0,1,0,1,1,0,2,0,1,0,0,2,3,0,1,0,65,18,0.08,0.45,0.18,0.31,0.26,0.07,0.11,25,65,0.58,0.06,0.74,0.36,0.35,0.12,0.34,0.47,normal
184,27,tcp,other,SH,3413,338,0,2,0,2,1,0,0,0,0,3,2,2,4,0,1,0,32,30,0.12,0.01,0.18,0.27,0.15,0.21,0.33,255,1,0.76,0.15,0.63,0.33,0.49,0.45,0.33,0.26,normal
185,59,tcp,eco_i,RSTO,515,2311,0,2,0,1,1,1,1,0,0,0,2,1,4,0,1,0,23,90,0.3,0.25,0.35,0.11,0.34,0.07,0.33,81,13,0.79,0.22,0.25,0.27,0.02,0.09,0.17,0.03,normal
186,55,udp,eco_i,REJ,2480,1823,0,10,9,0,4,1,7,1,1,9,1,2,2,0,1,0,25,1,0.7,0.69,0.99,0.66,0.97,0.4,0.36,93,128,0.84,0.33,0.92,0.03,0.65,0.69,0.4,0.28,back
187,83,icmp,smtp,SH,3161,1007,0,1,0,0,0,1,0,0,0,2,2,2,1,0,1,0,84,40,0.29,0.07,0.4,0.02,0.35,0.12,0.4,127,180,0.56,0.27,0.38,0.39,0.0,0.14,0.09,0.5,normal
188,82,icmp,other,RSTO,2704,1588,0,4,2,1,2,1,0,0,1,4,3,0,3,0,0,1,95,91,0.53,0.84,0.59,0.77,0.9,0.37,0.04,136,6,0.84,0.07,0.05,0.39,0.72,0.91,0.13,0.09,smurf
189,79,tcp,eco_i,REJ,1042,1874,0,8,4,2,3,1,4,1,0,3,0,0,4,0,1,1,94,97,0.99,0.63,0.75,0.58,0.91,0.04,0.46,29,164,0.91,0.36,0.71,0.4,0.75,0.53,0.12,0.14,neptune
190,51,tcp,ftp_data,RSTO,4371,2368,0,0,0,0,0,0,2,0,1,2,1,1,4,0,1,0,70,20,0.37,0.3,0.35,0.4,0.39,0.21,0.07,153,218,0.66,0.29,0.05,0.16,0.35,0.43,0.06,0.43,normal
191,24,udp,other,RSTO,4634,1553,1,10,3,3,4,1,0,1,1,3,1,2,0,0,0,0,1,12,0.86,0.93,0.96,0.76,0.89,0.34,0.01,122,14,0.99,0.1,0.15,0.19,0.7,0.88,0.17,0.12,smurf
192,78,tcp,private,REJ,4369,4398,0,2,0,2,0,0,0,0,0,1,2,0,4,0,1,0,44,93,0.15,0.02,0.01,0.07,0.13,0.27,0.39,218,65,0.63,0.32,0.55,0.29,0.05,0.29,0.46,0.08,normal
193,0,icmp,other,REJ,693,4532,0,0,0,2,0,0,2,0,1,3,0,1,4,0,0,0,81,84,0.5,0.19,0.26,0.34,0.42,0.44,0.18,174,169,0.76,0.17,0.49,0.15,0.18,0.3,0.47,0.41,normal
194,99,icmp,private,REJ,3467,329,1,2,6,0,0,1,4,1,0,6,5,0,4,0,0,1,50,44,0.99,0.95,0.8,0.86,0.83,0.43,0.15,136,19,0.84,0.3,0.29,0.19,0.66,0.76,0.03,0.05,smurf
195,11,tcp,domain_u,REJ,6903,1459,0,0,0,2,5,1,1,0,0,6,1,0,3,0,0,1,28,3,0.98,0.93,0.99,0.51,0.99,0.26,0.1,158,127,1.0,0.07,0.8,0.36,0.83,0.89,0.07,0.26,smurf
196,56,tcp,smtp,REJ,1748,1706,0,7,5,0,3,1,6,1,0,10,0,2,0,0,0,1,3,66,0.94,0.97,0.57,0.61,0.93,0.02,0.44,54,121,0.89,0.4,0.52,0.01,0.96,0.81,0.48,0.22,back
197,25,icmp,domain_u,RSTO,5867,1760,0,10,2,4,1,0,8,1,0,0,4,2,5,0,1,1,47,52,0.74,0.99,0.71,0.55,0.94,0.12,0.5,255,154,0.8,0.13,0.1,0.46,0.8,0.63,0.31,0.22,neptune
198,20,icmp,http,S0,3602,3986,0,2,0,0,1,1,2,0,1,2,1,2,1,0,0,0,89,90,0.02,0.25,0.33,0.15,0.19,0.1,0.05,140,186,0.94,0.22,0.19,0.5,0.48,0.31,0.4,0.37,normal
199,9,icmp,eco_i,SF,2536,857,0,1,7,1,4,1,10,1,1,9,2,2,5,0,1,1,75,91,0.93,0.54,0.57,0.57,0.95,0.47,0.4,180,96,0.82,0.02,0.32,0.45,0.86,0.54,0.25,0.22,back
200,39,tcp,eco_i,RSTO,2924,4415,0,1,0,2,0,1,2,0,0,0,0,0,3,0,1,0,27,83,0.17,0.22,0.22,0.4,0.02,0.41,0.49,89,233,0.97,0.3,0.98,0.16,0.23,0.13,0.4,0.41,normal
201,100,tcp,other,REJ,3286,3477,1,0,0,0,1,0,0,0,0,3,0,2,3,0,1,0,4,33,0.19,0.01,0.39,0.45,0.27,0.14,0.22,156,2,0.61,0.32,0.8,0.05,0.49,0.39,0.35,0.45,normal
202,47,udp,smtp,SF,4272,1453,1,7,9,0,5,0,1,1,1,3,5,2,0,0,1,0,40,1,0.61,0.85,0.55,0.9,0.97,0.22,0.48,113,20,0.87,0.28,0.47,0.14,0.74,0.63,0.22,0.42,smurf
203,58,udp,smtp,REJ,2248,2179,1,2,0,2,1,1,0,0,1,2,0,0,0,0,0,0,78,58,0.33,0.26,0.13,0.4,0.14,0.06,0.07,131,116,0.57,0.26,0.21,0.21,0.26,0.25,0.19,0.05,normal
204,61,udp,smtp,REJ,347,3159,0,2,0,0,1,1,1,0,0,0,1,1,0,0,1,0,22,70,0.27,0.13,0.16,0.33,0.24,0.35,0.09,99,9,0.96,0.02,0.84,0.09,0.29,0.05,0.08,0.41,normal
205,21,icmp,domain_u,S0,7663,1401,1,6,8,4,4,1,8,1,1,8,4,0,0,0,1,0,47,43,0.65,0.54,0.96,0.94,0.92,0.11,0.26,176,107,0.93,0.46,0.01,0.39,0.88,0.66,0.3,0.28,smurf
206,51,icmp,smtp,SH,390,3871,1,0,0,1,0,0,2,0,1,0,2,1,2,0,1,0,34,94,0.45,0.06,0.02,0.4,0.49,0.11,0.0,116,220,0.99,0.49,0.27,0.35,0.16,0.36,0.11,0.29,normal
207,21,icmp,http,SH,3083,2331,0,0,0,0,0,1,0,0,1,0,2,2,2,0,0,0,60,77,0.19,0.3,0.21,0.49,0.05,0.24,0.47,164,210,0.95,0.17,0.04,0.38,0.09,0.5,0.37,0.1,normal
208,65,tcp,other,RSTO,802,479,0,1,0,2,1,1,0,0,1,1,2,2,2,0,0,0,87,9,0.27,0.1,0.49,0.05,0.08,0.28,0.44,72,213,0.68,0.49,0.17,0.45,0.05,0.38,0.22,0.34,normal
209,44,udp,domain_u,RSTO,9732,1278,0,3,5,4,1,0,9,1,0,6,4,1,1,0,1,0,15,61,0.96,0.64,0.95,0.62,0.85,0.02,0.22,221,39,0.84,0.25,0.71,0.43,0.78,0.74,0.32,0.32,teardrop
210,49,udp,eco_i,S0,650,547,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,46,38,0.09,0.14,0.02,0.4,0.4,0.42,0.09,255,89,0.6,0.35,0.47,0.14,0.0,0.34,0.21,0.14,normal
211,75,icmp,eco_i,SF,464,2476,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,75,93,0.48,0.27,0.37,0.29,0.46,0.16,0.01,252,191,0.95,0.44,0.41,0.44,0.19,0.19,0.37,0.43,normal
212,96,udp,smtp,SH,2934,1394,0,0,0,2,1,1,0,0,1,2,2,1,3,0,0,0,5,70,0.44,0.16,0.43,0.22,0.47,0.18,0.47,156,151,0.66,0.38,0.43,0.49,0.12,0.25,0.23,0.31,normal
213,22,icmp,domain_u,S0,3211,293,0,1,8,2,4,0,7,1,1,7,5,1,0,0,0,1,2,98,0.62,0.87,0.85,0.72,0.98,0.32,0.28,157,48,0.98,0.12,0.56,0.49,0.74,0.54,0.19,0.3,back
214,80,udp,eco_i,REJ,6514,1765,1,10,8,4,0,0,3,1,0,10,4,0,4,0,1,0,85,9,0.53,0.61,0.89,0.69,0.91,0.11,0.26,232,107,0.95,0.38,0.35,0.2,0.54,0.84,0.44,0.32,teardrop
215,63,tcp,eco_i,SF,4222,1542,0,2,0,0,1,0,1,0,0,1,0,1,3,0,1,0,70,49,0.46,0.16,0.32,0.12,0.11,0.44,0.32,141,34,0.89,0.04,0.47,0.21,0.3,0.48,0.07,0.35,normal
216,49,udp,http,REJ,5509,865,1,7,7,3,1,0,1,1,0,2,2,1,4,0,0,0,52,72,0.87,0.81,0.83,0.58,0.92,0.13,0.36,34,134,0.8,0.45,0.73,0.2,0.94,0.57,0.43,0.37,smurf
217,35,icmp,domain_u,SF,2969,141,0,10,5,2,0,0,4,0,1,3,1,2,4,0,0,1,86,93,0.89,0.86,0.75,0.56,0.91,0.22,0.24,181,119,0.84,0.12,0.94,0.24,0.57,0.58,0.02,0.21,neptune
